word,emotion,intensity,polarity
骄子,PH,5.0,1.0
解惑,PH,3.0,1.0
津要,PH,5.0,1.0
金嗓子,PH,3.0,1.0
匀净,PH,3.0,1.0
赞词,PH,3.0,1.0
真纯,PH,3.0,1.0
箴言,PH,5.0,1.0
珍玩,PB,7.0,1.0
正理,PH,5.0,1.0
指导,PD,3.0,1.0
至理,PG,7.0,1.0
致敬,PD,5.0,1.0
智多星,PH,5.0,1.0
忠魂,PD,7.0,1.0
主力军,PH,5.0,1.0
准绳,PH,5.0,1.0
卓特,PH,7.0,1.0
进益,PA,5.0,1.0
奏凯,PA,5.0,1.0
尊服,PD,3.0,1.0
尽瘁,PH,5.0,1.0
精白,PH,3.0,1.0
精洁,PH,7.0,1.0
精妙,PH,5.0,1.0
精髓,PH,7.0,1.0
精要,PH,3.0,1.0
晶洁,PH,5.0,1.0
景观,PH,5.0,1.0
敬信,PD,7.0,1.0
救亡,PH,1.0,1.0
据实,PG,1.0,1.0
眷怀,PB,5.0,1.0
哀鸿遍野,NB,7.0,2.0
肮里肮脏,NN,5.0,2.0
冰炭不相容,ND,9.0,0.0
英姿飒爽,PH,9.0,1.0
有礼,PH,9.0,1.0
易如反掌,PH,9.0,1.0
为人正直,PH,9.0,1.0
心地纯良,PH,9.0,1.0
不成话,NN,5.0,2.0
昭然若揭,NN,9.0,2.0
有口无心,NN,9.0,2.0
有眼力,PH,9.0,1.0
不干不净,NN,3.0,2.0
异彩纷呈,PH,9.0,1.0
学富五车,PH,9.0,1.0
心灵美,PH,9.0,1.0
香馥馥,PH,9.0,1.0
味道好,PH,9.0,1.0
手脚不干净,NN,9.0,2.0
索然寡味,NN,9.0,2.0
死板板,NN,9.0,2.0
松垮垮,NN,9.0,2.0
危在旦夕,NC,9.0,2.0
无纪律,NN,9.0,2.0
无实质,NN,9.0,2.0
险峭,NN,1.0,2.0
不明不白,NE,5.0,2.0
不清不白,NN,7.0,2.0
不透明,NN,3.0,2.0
不雅,NN,3.0,2.0
不足为外人道,NN,3.0,2.0
有勇气,PH,9.0,1.0
玄妙,NN,9.0,2.0
长长短短,NN,3.0,0.0
罪恶多端,ND,9.0,2.0
皱巴,ND,9.0,2.0
朝不谋夕,NB,5.0,0.0
逞性子,NN,7.0,2.0
臭名昭彰,NN,9.0,2.0
寸草不生,NB,1.0,0.0
哀梨蒸食,NN,7.0,2.0
刀光剑影,NC,3.0,0.0
度量小,NN,7.0,2.0
翻云覆雨,NN,5.0,2.0
风刀霜剑,NB,3.0,0.0
腐化堕落,NN,9.0,2.0
高不成低不就,NN,3.0,2.0
孤单单,NB,5.0,2.0
寡断,NN,7.0,2.0
乖剌,NN,7.0,2.0
含糊不清,NN,5.0,2.0
毫不客气,NN,5.0,2.0
黑森森,NC,5.0,0.0
胡子拉碴,NN,3.0,2.0
荒诞派,NN,7.0,2.0
荒淫无度,NN,9.0,2.0
灰蒙蒙,NE,1.0,0.0
智能型,PH,5.0,1.0
晦暝,NC,7.0,2.0
谆谆,PD,5.0,1.0
昏黑,NE,3.0,2.0
铮亮,PH,3.0,1.0
鸾凤和鸣,PA,5.0,1.0
板脸,NE,5.0,0.0
抱疚,NH,3.0,2.0
憋着一肚子气,NE,7.0,2.0
愁惨,NE,5.0,2.0
错愕,PC,7.0,2.0
掉魂,NE,7.0,2.0
发牢骚,NE,3.0,2.0
烦神,NE,5.0,2.0
忿忿不平,NA,5.0,2.0
惶然不安,NC,5.0,2.0
急死,NE,7.0,2.0
介意,NE,3.0,0.0
举棋不定,NE,5.0,0.0
口诛笔伐,NN,5.0,2.0
拉不下脸来,NE,3.0,0.0
骂得狗血喷头,NN,7.0,2.0
怒火冲天,NA,7.0,0.0
气愤愤,NA,5.0,0.0
歉然,NN,3.0,0.0
人身攻击,NN,5.0,2.0
数落,NN,3.0,0.0
痛责,NN,5.0,0.0
下不了台,NE,5.0,0.0
杏眼圆睁,PH,3.0,1.0
讶然失色,PC,7.0,0.0
怔神儿,PC,3.0,0.0
追悔莫及,NH,7.0,0.0
彷徨,NE,5.0,0.0
爱上,PB,5.0,0.0
高山仰止,PD,7.0,0.0
恨不得,NE,7.0,0.0
祭拜,PD,5.0,0.0
敬服,PD,5.0,0.0
看上眼,PB,3.0,0.0
梦魂萦绕,PF,7.0,0.0
安好,PE,1.0,1.0
如痴如狂,PB,7.0,0.0
安泰,PH,1.0,1.0
叹为观止,PC,7.0,1.0
忘乎所以,NN,5.0,0.0
尖嘴薄舌,NN,5.0,2.0
艰苦卓绝,PH,7.0,1.0
心如铁石,NN,7.0,2.0
见风转舵,NN,7.0,2.0
叩拜,PD,5.0,0.0
倍儿棒,PH,7.0,1.0
竭蹶,NE,7.0,0.0
彪壮,ND,1.0,0.0
博闻广识,PH,5.0,1.0
不动摇,PH,1.0,0.0
不落俗套,PH,5.0,1.0
可骇,NC,9.0,2.0
不泄气,PH,1.0,1.0
才气横溢,PH,7.0,1.0
空落落,NB,7.0,0.0
枯寂,NN,5.0,2.0
苦口,NB,7.0,0.0
狂恣,NN,9.0,2.0
老辣,NN,5.0,2.0
肋脦,NN,7.0,2.0
哩哩罗罗,NN,3.0,2.0
凛然,PH,7.0,1.0
伶仃,NB,7.0,0.0
令人厌倦,NN,7.0,2.0
碌碌无为,NN,7.0,2.0
马马虎虎,NN,5.0,2.0
莽莽撞撞,NN,5.0,2.0
没骨头,NN,7.0,2.0
没两下子,NN,7.0,2.0
没心眼儿,NN,3.0,2.0
迷糊,NE,5.0,0.0
模棱两可,NN,5.0,2.0
少见多怪,NN,3.0,2.0
难上难,NE,5.0,2.0
一塌糊涂,NN,9.0,2.0
只顾自身利益,NN,9.0,2.0
一个心眼儿,PH,9.0,1.0
一级,PH,9.0,1.0
有头脑,PH,9.0,1.0
欣欣向荣,PH,9.0,1.0
难驯服,NN,3.0,2.0
闹闹嚷嚷,NN,7.0,2.0
贫寒,NB,3.0,0.0
铺张浪费,NN,7.0,2.0
奇丑无比,NN,9.0,2.0
气壮如牛,PH,3.0,1.0
清苦,NB,5.0,0.0
穷途潦倒,NN,7.0,2.0
缺乏幽默,NN,5.0,2.0
弱智,NN,9.0,2.0
色迷迷,NN,9.0,2.0
傻里傻气,NN,5.0,2.0
神不知，鬼不觉,NN,3.0,0.0
失落,NA,7.0,0.0
食古不化,NN,7.0,2.0
喧天,NE,9.0,2.0
丰姿绰约,PH,5.0,1.0
捉摸不定,NN,9.0,2.0
特等,PA,5.0,0.0
肝胆过人,PH,3.0,1.0
高档化,PH,3.0,1.0
高深莫测,PH,1.0,0.0
革命性,PH,3.0,1.0
功德无量,PH,7.0,1.0
古朴,PB,3.0,1.0
过得硬,PH,3.0,1.0
很有抱负,PH,5.0,1.0
数一数二,PH,7.0,1.0
花容月貌,PH,5.0,1.0
受吃,PB,3.0,1.0
史无前例,PH,7.0,1.0
圣礼,PD,9.0,0.0
滑天下之大稽,NN,7.0,2.0
生死不渝,PH,7.0,0.0
深入人心,PH,5.0,1.0
擅场,PH,9.0,1.0
上赶,NN,7.0,2.0
井然有序,PH,5.0,1.0
举足轻重,PH,5.0,1.0
人寿年丰,PH,7.0,1.0
俊俏,PH,5.0,1.0
确凿无疑,PG,9.0,0.0
确定,PG,9.0,0.0
老成练达,PH,3.0,3.0
鼠胆,NN,9.0,2.0
强势,PH,1.0,0.0
浅显,NN,1.0,0.0
心胸狭隘,NN,9.0,2.0
性格内向,NN,9.0,2.0
千姿百态,PH,7.0,1.0
气度恢宏,PH,9.0,1.0
起眼儿,PH,1.0,0.0
越轨,NN,9.0,2.0
令人大开眼界,PH,3.0,1.0
完美无疵,PH,9.0,1.0
朴实无华,PH,3.0,1.0
无上光荣,PH,9.0,1.0
有嘴无心,PH,9.0,1.0
逸乐,PH,9.0,1.0
心宽,PH,9.0,1.0
无污染,PH,9.0,1.0
无拘束,PH,9.0,1.0
闻过则喜,PH,9.0,1.0
谈吐不俗,PH,9.0,1.0
名副其实,PH,5.0,1.0
喷香,PB,3.0,1.0
哀莫大于心死,NB,9.0,2.0
安邦定国,PH,9.0,1.0
金瓯无缺,PH,7.0,1.0
我武惟扬,PH,9.0,1.0
乃心王室,PH,9.0,1.0
尽忠报国,PH,9.0,1.0
杀身报国,PH,9.0,1.0
忧国忘身,PH,9.0,1.0
济世经邦,PH,9.0,1.0
兴利除弊,PH,9.0,1.0
猫鼠同处,ND,9.0,2.0
四海鼎沸,NE,7.0,2.0
出疆载质,NN,9.0,2.0
委国听令,NN,9.0,2.0
国步艰难,NB,7.0,2.0
立国安邦,PH,9.0,1.0
溽热,NN,1.0,2.0
欢快,PA,5.0,1.0
如意,PA,3.0,1.0
得志,PA,3.0,1.0
好日子,PH,5.0,1.0
欢娱,PA,5.0,1.0
庆幸,PA,3.0,1.0
喜气,PA,5.0,1.0
兴高采烈,PA,7.0,1.0
快意,PA,5.0,1.0
艳福,PA,5.0,0.0
乐陶陶,PA,5.0,1.0
逗人,PA,5.0,1.0
眉开眼笑,PA,5.0,1.0
笑逐言开,PA,5.0,1.0
距跃三百,PA,7.0,1.0
鹊笑鸠舞,PA,7.0,1.0
神采飞扬,PA,5.0,1.0
忍俊不禁,PA,5.0,0.0
嫣然,PA,5.0,1.0
笑噱,PA,5.0,0.0
和颜悦色,PA,5.0,1.0
胡敲梆子乱击磬－欢喜若狂,PA,9.0,0.0
新媳妇怀孕－暗喜,PA,5.0,0.0
侥幸,PA,3.0,0.0
五世其昌,PK,5.0,1.0
安乐窝,PA,3.0,1.0
偏爱,PB,7.0,0.0
挂牵,PB,3.0,1.0
偏疼,NN,3.0,2.0
娇惯,NN,5.0,2.0
流连,PB,5.0,0.0
顾惜,PB,3.0,0.0
垂爱,PB,5.0,0.0
乐此不疲,PB,5.0,0.0
兴味,PB,3.0,0.0
稀罕,PB,5.0,1.0
一见钟情,PB,7.0,0.0
挺拔,PH,5.0,1.0
歆慕,PB,3.0,0.0
心动,PB,3.0,0.0
温顺,PH,1.0,1.0
不忍释手,PB,7.0,1.0
眷注,PB,3.0,0.0
束身自修,PB,1.0,1.0
难舍难分,PB,5.0,1.0
老牛舔犊,PB,7.0,1.0
渴望,PK,7.0,0.0
热望,PK,5.0,0.0
乖乖,PB,5.0,1.0
和暖,PH,3.0,1.0
温软,PH,1.0,1.0
温情脉脉,PB,5.0,1.0
可口,PH,1.0,1.0
奇妙,PC,5.0,0.0
尊崇,PD,9.0,1.0
崇敬,PD,7.0,1.0
称颂,PH,5.0,1.0
传颂,PH,5.0,1.0
颂扬,PD,7.0,1.0
先烈,PF,3.0,1.0
恭谨,PD,5.0,1.0
万寿无疆,PK,5.0,1.0
福寿年高,PK,3.0,1.0
老前辈,PD,5.0,0.0
从善如流,PH,5.0,1.0
尊贵,PD,5.0,1.0
拜恳,PK,3.0,1.0
鼻祖,PD,7.0,1.0
和婉,PH,3.0,1.0
怡和,PA,3.0,0.0
和顺,PH,5.0,1.0
娴静,PE,1.0,1.0
安逸,PA,3.0,0.0
安居乐业,PE,5.0,1.0
安适,PE,5.0,1.0
思念,PF,5.0,0.0
望眼欲穿,PF,9.0,1.0
引人深思,PF,3.0,0.0
妥靠,PG,3.0,1.0
铁定,PG,9.0,0.0
活脱脱,PH,5.0,1.0
白璧无暇,PH,9.0,1.0
标兵,PH,5.0,1.0
不同凡响,PH,9.0,1.0
诚挚,PH,5.0,1.0
出色,PH,5.0,1.0
恳挚,PH,5.0,1.0
令人鼓舞,PH,5.0,1.0
豪兴,PH,7.0,1.0
善始善终,PH,5.0,1.0
果断,PH,5.0,1.0
机智,PH,5.0,1.0
健美,PH,1.0,1.0
侃侃而谈,PH,3.0,1.0
淳朴,PH,5.0,1.0
大显神通,PH,5.0,1.0
动听,PH,5.0,1.0
丰碑,PH,7.0,1.0
刚毅,PH,5.0,1.0
夸奖,PH,5.0,1.0
肯切,PH,3.0,1.0
力挽狂澜,PH,7.0,1.0
流芳百世,PH,9.0,1.0
美不胜收,PH,5.0,1.0
感人肺腑,PH,3.0,1.0
敏捷,PH,5.0,1.0
能干,PH,5.0,1.0
果敢,PH,5.0,1.0
挺秀,PH,5.0,1.0
娇娆,PH,5.0,1.0
妙趣横生,PA,3.0,1.0
披荆斩棘,PH,7.0,1.0
气吞山河,PH,7.0,1.0
前赴后继,PH,7.0,1.0
勤勉,PH,1.0,1.0
热诚,PH,5.0,1.0
日新月异,PH,5.0,1.0
神采奕奕,PH,5.0,1.0
盛名,PH,9.0,1.0
理解,PH,5.0,0.0
大义灭亲,PH,7.0,0.0
忠心,PH,5.0,1.0
坦率,PH,5.0,1.0
推心置腹,PH,5.0,1.0
文从字顺,PH,5.0,1.0
无微不至,PH,7.0,1.0
闻名遐迩,PH,7.0,1.0
严明,PH,1.0,1.0
硬朗,PH,3.0,1.0
优美,PH,5.0,1.0
惊佩,PH,5.0,1.0
整洁,PH,5.0,1.0
周到,PH,5.0,1.0
节烈,PH,5.0,1.0
慈善,PH,5.0,1.0
正大,PH,5.0,1.0
堂堂正正,PH,7.0,1.0
朴直,PH,5.0,1.0
洁身自好,PH,5.0,1.0
笃厚,PH,5.0,1.0
憨厚,PH,5.0,1.0
妥实,PH,5.0,1.0
执着,PH,5.0,1.0
不屈,PH,5.0,1.0
勇武,PH,5.0,1.0
初生牛犊,PH,3.0,1.0
大度,PH,5.0,1.0
虚心,PH,5.0,1.0
浩气,PH,5.0,1.0
悃诚,PH,5.0,1.0
肝胆相照,PG,7.0,1.0
天公地道,PH,5.0,1.0
儒雅,PH,5.0,1.0
赳赳,PH,5.0,1.0
好强,PH,5.0,1.0
道德,PH,5.0,1.0
倜傥,PH,5.0,1.0
安分,PH,5.0,1.0
脆生,PH,3.0,1.0
赞扬,PH,5.0,1.0
矢志不渝,PH,7.0,1.0
旱苗得雨,PA,7.0,0.0
假以辞色,PH,3.0,1.0
亲切,PH,5.0,1.0
神韵,PH,5.0,1.0
含蓼问疾,PH,5.0,1.0
情同骨肉,PB,7.0,0.0
精确,PH,5.0,0.0
凉爽,PH,5.0,0.0
深思熟虑,PH,5.0,0.0
繁华,PH,5.0,1.0
健壮,PH,3.0,1.0
辽阔,PH,3.0,1.0
轻捷,PH,3.0,1.0
适当,PH,5.0,1.0
香喷喷,PH,5.0,1.0
雄厚,PH,5.0,1.0
准确,PH,5.0,1.0
清洌,PH,3.0,1.0
宽大为怀,PH,5.0,1.0
代代红,PH,5.0,1.0
急若流星,NI,5.0,0.0
舍己救人,PH,5.0,1.0
匡救,PH,5.0,1.0
驰援,PH,5.0,1.0
咏赞,PH,7.0,1.0
称道,PH,5.0,1.0
赞叹不已,PH,7.0,1.0
娟秀,PH,5.0,1.0
秀媚,PH,5.0,1.0
分外夺目,PH,5.0,1.0
毫不利己,PH,5.0,1.0
廉明,PH,5.0,1.0
道不拾遗,PH,5.0,1.0
圣人,PH,9.0,1.0
贤良,PH,5.0,1.0
势不可当,PH,5.0,1.0
惊天动地,PC,7.0,0.0
准儿,PH,3.0,1.0
其味无穷,PH,9.0,0.0
入木三分,PH,7.0,1.0
流芳千古,PH,9.0,1.0
声名远播,PH,7.0,1.0
有头有脸,PH,5.0,1.0
精美绝伦,PH,9.0,1.0
独占鳌头,PH,7.0,1.0
一枝独秀,PH,7.0,1.0
独具匠心,PH,7.0,1.0
鹤立鸡群,PH,9.0,1.0
不赖,PH,3.0,1.0
钢铁长城,PH,5.0,1.0
帮扶,PH,3.0,1.0
宝地,PH,7.0,1.0
报答,PH,5.0,1.0
辈出,PH,3.0,1.0
愤懑,NA,5.0,2.0
悲愤,NA,7.0,0.0
勃然大怒,NA,9.0,0.0
含怒,NA,3.0,0.0
恼羞成怒,NA,5.0,0.0
忿怒,NA,5.0,0.0
七窍生烟,NA,5.0,0.0
发标,NA,5.0,0.0
怒容,NA,5.0,0.0
吹胡子,NA,7.0,0.0
唱老生的生气－吹胡子瞪眼镜,NA,7.0,0.0
暴跳如雷,NA,9.0,2.0
戟指怒目,NA,7.0,2.0
怒形于色,NA,3.0,2.0
怒目切齿,NA,5.0,2.0
城下之盟,NE,7.0,2.0
悲恸,NB,7.0,0.0
悲哀,NB,5.0,0.0
悲伤,NB,5.0,0.0
衔冤,NE,7.0,0.0
心如刀割,NB,9.0,0.0
痛惜,NB,7.0,0.0
悲酸,NB,5.0,0.0
举目无亲,NB,3.0,0.0
洒泪,NB,5.0,0.0
啜泣,NB,5.0,0.0
号啕,NB,9.0,0.0
最后一根稻草,NI,7.0,0.0
抚髀兴叹,NB,3.0,2.0
参辰卯酉,ND,7.0,0.0
倒霉,NB,3.0,0.0
哀感天地,NB,7.0,0.0
惨不忍闻,NB,9.0,0.0
不胜其苦,NB,5.0,0.0
叹息,NJ,3.0,0.0
悲号,NB,7.0,0.0
诚惶诚恐,NC,5.0,0.0
魂飞魄散,NC,9.0,0.0
面如土色,NC,9.0,0.0
疑惧,NC,3.0,0.0
幽灵,NC,1.0,0.0
三伏天发抖－不寒而栗,NC,5.0,0.0
吞吞吐吐,NN,3.0,2.0
不可终日,NC,7.0,0.0
栗栗危惧,NC,5.0,0.0
夏日可畏,NC,3.0,2.0
败类,NN,7.0,1.0
剥削,ND,3.0,2.0
猖獗,ND,3.0,2.0
臭架子,ND,1.0,2.0
苟延残喘,ND,1.0,2.0
悍然,NN,5.0,2.0
伎俩,ND,3.0,2.0
党羽,ND,3.0,2.0
讹诈,ND,5.0,2.0
飞扬跋扈,NN,3.0,2.0
复辟,ND,1.0,2.0
老狐狸,ND,7.0,2.0
笼络,ND,3.0,2.0
厌恶,ND,7.0,2.0
可憎,ND,7.0,2.0
叛徒,ND,5.0,2.0
欺凌,ND,3.0,2.0
敲诈,ND,5.0,2.0
屈辱,ND,3.0,2.0
轻蔑,ND,7.0,2.0
撒赖,NN,3.0,2.0
伤天害理,NN,9.0,2.0
为所欲为,ND,5.0,2.0
乌合之众,ND,5.0,2.0
吸血鬼,ND,7.0,2.0
阴谋,ND,5.0,2.0
指鹿为马,NN,5.0,2.0
罪有应得,ND,5.0,2.0
看轻,ND,1.0,2.0
兽行,ND,7.0,2.0
贪色,NN,3.0,2.0
作践,ND,9.0,2.0
凶相毕露,ND,5.0,2.0
棺材老板咬牙－恨不死人,ND,3.0,2.0
行同狗彘,ND,7.0,2.0
视如寇仇,ND,7.0,2.0
切齿腐心,ND,9.0,2.0
令人作呕,ND,9.0,2.0
不以为然,ND,7.0,2.0
文人相轻,ND,3.0,2.0
王八蛋,ND,7.0,2.0
姘妇,ND,3.0,2.0
揶揄,ND,3.0,2.0
癞皮狗,ND,7.0,2.0
元凶,ND,3.0,2.0
妖孽,ND,7.0,2.0
骚货,ND,9.0,2.0
中伤,ND,5.0,2.0
嘈杂,NN,1.0,2.0
苦恼,NE,5.0,0.0
犯愁,NE,1.0,0.0
颓然,NE,1.0,0.0
忍气吞声,NE,7.0,0.0
不耐烦,NE,5.0,0.0
焦炙,NE,7.0,0.0
疑念,NE,1.0,0.0
愧恨,NE,7.0,0.0
沉寂,NE,7.0,0.0
愁肠寸断,NE,9.0,2.0
忧心如薰,NE,7.0,2.0
生吞蜈蚣－百爪挠心,NE,9.0,2.0
贫穷,NE,5.0,0.0
无所措手足,NE,5.0,2.0
不如意事常八九,NE,3.0,2.0
燥热,NE,3.0,2.0
将就,NE,1.0,0.0
羞愧,NG,5.0,0.0
脸红,NG,3.0,0.0
无面目见江东父老,NG,9.0,2.0
抱愧,NH,3.0,0.0
愧怍,NH,5.0,0.0
悔恨,NH,9.0,0.0
涵容,PK,1.0,0.0
愧悔无地,NH,9.0,0.0
船到江心补漏迟,NH,9.0,2.0
慌乱,NI,7.0,0.0
如坐针毡,NE,7.0,0.0
心焦,NE,5.0,0.0
张皇,NI,3.0,2.0
浮躁,NE,5.0,2.0
周章,NE,3.0,0.0
心如悬旌,NI,5.0,2.0
鞋里长草－慌了脚,NI,3.0,0.0
紧急,NI,3.0,0.0
五色无主,NI,7.0,0.0
脚忙手乱,NI,5.0,2.0
心如火焚,NE,9.0,2.0
死心,NJ,9.0,0.0
心灰意冷,NJ,5.0,0.0
不可企及,NJ,7.0,2.0
怀揣冰棍－凉透心,NJ,9.0,0.0
嫉妒,NK,7.0,2.0
醋意,NK,1.0,2.0
忧人发迹怕自穷,NC,1.0,0.0
猜忌,NL,5.0,2.0
疑团,NL,7.0,0.0
田里的蚯蚓－满肚疑,NL,1.0,0.0
败家子,NN,7.0,2.0
闭门造车,NN,5.0,2.0
草包,NN,7.0,2.0
乘人之危,NN,5.0,2.0
记仇,NN,5.0,2.0
妄求,NN,3.0,2.0
累世通好,PH,5.0,1.0
人浮于事,NN,7.0,2.0
繁荣昌盛,PH,7.0,1.0
鸿均之世,PH,5.0,1.0
年丰时稔,PH,5.0,1.0
五风十雨,PH,5.0,1.0
分崩离析,NJ,5.0,2.0
人欲横流,NN,7.0,2.0
拨乱反治,PH,5.0,1.0
秋荼密网,NN,5.0,2.0
抑塞磊落,PH,3.0,1.0
鞭笞天下,PH,7.0,1.0
腹中兵甲,PH,7.0,1.0
牛刀小试,PH,3.0,1.0
臣门如市，臣心如水,PH,7.0,1.0
欺瞒夹账,NN,9.0,2.0
卖官鬻狱,NN,9.0,2.0
口快心直,PH,1.0,1.0
夺人所好,NN,7.0,2.0
营私舞弊,NN,7.0,2.0
缓急相济,PH,3.0,1.0
久要不忘,PH,7.0,1.0
言而不渝,PH,7.0,1.0
卖友求荣,NN,9.0,2.0
废奢长俭,PH,7.0,1.0
宽打窄用,PH,5.0,1.0
斫雕为朴,PH,9.0,1.0
金迷纸醉,NN,9.0,2.0
天下箸处,NN,7.0,2.0
别具只眼,PH,5.0,1.0
推陈出新,PH,7.0,1.0
地利人和,PE,5.0,1.0
一路顺风,PE,5.0,1.0
难于上天,NJ,7.0,0.0
矢志不愈,PH,7.0,1.0
称体裁衣,PH,1.0,1.0
刚克柔克,PH,1.0,1.0
知之为知之，不知为不知,PH,3.0,1.0
唱筹量沙,NE,1.0,2.0
以人废言,NN,5.0,2.0
越凫楚乙,NN,5.0,2.0
东躲西藏,NN,3.0,2.0
大相径庭,NN,5.0,2.0
判若云泥,NN,7.0,2.0
天悬地隔,NN,3.0,0.0
坠茵落溷,NE,5.0,2.0
力疾从公,PH,5.0,1.0
握蛇骑虎,NC,7.0,0.0
日暮穷途,NE,7.0,0.0
一板三眼,PH,5.0,1.0
山重水复,NE,5.0,0.0
抱火寝薪,NC,5.0,0.0
三反四覆,NN,5.0,2.0
归全反真,PH,3.0,1.0
再作冯妇,PH,5.0,1.0
智者千虑，必有一失,NN,1.0,0.0
与人为善,PH,5.0,1.0
同归于尽,NJ,1.0,2.0
良工巧匠,PH,5.0,1.0
艺高胆大,PH,5.0,1.0
三对六面,PE,1.0,0.0
火上浇油,NN,7.0,2.0
变古易常,PH,5.0,1.0
先天不足,NN,1.0,2.0
道高一尺，魔高一仗,PH,1.0,0.0
摇身一变,PC,7.0,0.0
乘风转舵,NN,5.0,2.0
以火救火,NN,3.0,2.0
海阔天空,PA,5.0,1.0
善气迎人,PH,1.0,1.0
珠联璧合,PH,7.0,1.0
敢怒不敢言,NA,5.0,2.0
麟角凤嘴,PH,7.0,1.0
致死不悟,NN,7.0,2.0
我行我素,NN,5.0,2.0
五马分尸,NC,5.0,2.0
黄口稚子,NN,5.0,2.0
天有不测风云,NC,3.0,2.0
茫无头绪,NE,5.0,2.0
不知天高地厚,NN,5.0,2.0
洞房花烛,PA,5.0,1.0
干啼湿哭,NB,5.0,0.0
泣下沾襟,NB,7.0,0.0
嘘唏不已,NB,5.0,0.0
三媒六证,PG,5.0,0.0
哑然失笑,PA,3.0,0.0
陶猗之家,PH,5.0,1.0
峻宇雕墙,PH,3.0,1.0
立锥之地,NN,1.0,2.0
赏信罚明,PH,5.0,1.0
黄道吉日,PA,3.0,1.0
旁门左道,ND,7.0,2.0
大难临头,NC,5.0,2.0
骨瘦如柴,NN,5.0,2.0
药店飞龙,NN,5.0,2.0
不治之症,NN,5.0,2.0
披麻戴孝,NB,5.0,0.0
鳏寡孤独,NB,7.0,0.0
离群索居,NB,3.0,0.0
相门有相,PE,5.0,0.0
驰名天下,PH,9.0,1.0
名标青史,PH,9.0,1.0
人死留名,PH,5.0,1.0
谈笑风生,PH,7.0,1.0
不经之谈,NN,3.0,2.0
混为一谈,NN,3.0,2.0
游谈无根,NN,5.0,2.0
巧言花语,NN,5.0,2.0
口头禅,NN,3.0,2.0
多嘴多舌,NN,5.0,2.0
唠唠叨叨,NN,3.0,2.0
絮絮叨叨,NN,3.0,2.0
即即世世,ND,3.0,2.0
顾名思义,PH,1.0,0.0
随时制宜,PH,3.0,1.0
没齿不忘,PH,7.0,1.0
顿开茅塞,PA,3.0,1.0
了若指掌,PG,5.0,1.0
先知先觉,PH,3.0,1.0
抚躬责己,PH,5.0,1.0
隐晦曲折,NN,3.0,2.0
耳食之谈,NN,3.0,2.0
靠天吃饭,NN,1.0,0.0
强龙不压地头蛇,NN,1.0,2.0
倚官仗势,NN,5.0,2.0
不耕而食，不蚕而衣,NN,3.0,2.0
欺罔视听,NN,7.0,2.0
甜嘴蜜舌,NN,5.0,2.0
鸿飞冥冥,PE,5.0,1.0
