word	emotion	emotion-intensity-score
brutal	anger	0.719
tumult	anger	0.719
madden	anger	0.719
aggravates	anger	0.719
vermin	anger	0.719
anarchism	anger	0.714
mutilation	anger	0.714
mangle	anger	0.714
criminal	anger	0.714
punch	anger	0.713
denunciation	anger	0.713
holocaust	anger	0.712
blasphemous	anger	0.712
battled	anger	0.712
dumbasses	anger	0.712
fatal	anger	0.712
virulence	anger	0.712
dontlikeyou	anger	0.712
hurting	anger	0.712
crucifixion	anger	0.712
deranged	anger	0.706
evil	anger	0.706
irritated	anger	0.706
atrocious	anger	0.706
assassin	anger	0.703
intimidation	anger	0.703
persecution	anger	0.703
slayer	anger	0.703
kidnap	anger	0.703
dicks	anger	0.703
scolding	anger	0.703
aggravated	anger	0.703
aggression	anger	0.702
armed	anger	0.700
poison	anger	0.697
snarling	anger	0.697
venom	anger	0.697
battle	anger	0.697
disgruntled	anger	0.693
assailant	anger	0.691
insidious	anger	0.691
resentment	anger	0.691
contemptuous	anger	0.690
lynch	anger	0.690
lunatic	anger	0.688
mad	anger	0.688
peeved	anger	0.688
bully	anger	0.688
temper	anger	0.688
infanticide	anger	0.688
curse	anger	0.688
domination	anger	0.688
imprisonment	anger	0.688
terrible	anger	0.688
disparage	anger	0.688
makesmemad	anger	0.688
volatility	anger	0.687
eradication	anger	0.685
scoundrel	anger	0.682
eradicate	anger	0.682
tantrum	anger	0.682
devastate	anger	0.682
agitation	anger	0.680
aggressively	anger	0.680
irritates	anger	0.676
dictatorship	anger	0.676
profanity	anger	0.673
dastardly	anger	0.672
expletive	anger	0.672
wreak	anger	0.672
contempt	anger	0.672
crime	anger	0.672
poisonous	anger	0.672
nasty	anger	0.672
aggravation	anger	0.672
condemnation	anger	0.672
egregious	anger	0.672
shove	anger	0.672
shoot	anger	0.672
shot	anger	0.672
crushed	anger	0.672
corrupting	anger	0.672
harmful	anger	0.672
cruelly	anger	0.672
maniac	anger	0.670
irritable	anger	0.667
shooting	anger	0.667
odious	anger	0.667
shout	anger	0.667
eruption	anger	0.667
cutthroat	anger	0.667
kick	anger	0.667
hateeveryone	anger	0.667
hit	anger	0.667
fight	anger	0.667
enemy	anger	0.667
combat	anger	0.667
aggressive	anger	0.667
punished	anger	0.662
yell	anger	0.661
ambush	anger	0.661
harass	anger	0.659
gore	anger	0.656
expel	anger	0.656
malignant	anger	0.656
destruction	anger	0.656
aggressor	anger	0.656
incense	anger	0.656
grudge	anger	0.656
antichrist	anger	0.656
cranky	anger	0.653
reprisal	anger	0.652
slave	anger	0.652
growl	anger	0.652
offended	anger	0.652
clashing	anger	0.652
insulting	anger	0.652
insurrection	anger	0.652
spank	anger	0.652
animosity	anger	0.652
denounce	anger	0.652
growls	anger	0.649
executioner	anger	0.644
twat	anger	0.644
doomsday	anger	0.643
bombard	anger	0.641
feud	anger	0.641
accused	anger	0.641
arson	anger	0.641
daemon	anger	0.641
shackle	anger	0.641
indignant	anger	0.641
obscenity	anger	0.641
spat	anger	0.641
havoc	anger	0.641
grr	anger	0.641
inexcusable	anger	0.641
expulsion	anger	0.641
reprimand	anger	0.641
somad	anger	0.637
poisoned	anger	0.636
kicking	anger	0.636
wound	anger	0.636
batter	anger	0.636
frustrated	anger	0.636
hanging	anger	0.636
disgusting	anger	0.636
spanking	anger	0.636
suicidal	anger	0.636
anarchy	anger	0.636
glaring	anger	0.636
combatant	anger	0.636
wrecked	anger	0.633
inflict	anger	0.633
grievous	anger	0.632
cheat	anger	0.630
prosecute	anger	0.630
agitated	anger	0.630
swastika	anger	0.627
enslaved	anger	0.625
scourge	anger	0.625
raid	anger	0.625
suffocation	anger	0.625
defamatory	anger	0.625
indict	anger	0.625
cursing	anger	0.625
provocation	anger	0.625
harassing	anger	0.625
injure	anger	0.625
betray	anger	0.625
thundering	anger	0.625
strife	anger	0.625
arsehole	anger	0.624
jerk	anger	0.621
retaliation	anger	0.621
fiend	anger	0.621
theft	anger	0.621
insane	anger	0.621
irritate	anger	0.621
deprivation	anger	0.621
convict	anger	0.621
cussed	anger	0.619
turmoil	anger	0.618
smack	anger	0.615
retribution	anger	0.614
adverse	anger	0.609
battery	anger	0.609
twats	anger	0.609
collision	anger	0.609
injurious	anger	0.609
rebellion	anger	0.609
slavery	anger	0.609
gang	anger	0.609
irritability	anger	0.609
bitterly	anger	0.609
oppressor	anger	0.609
antagonism	anger	0.609
intolerable	anger	0.609
disgraced	anger	0.608
diatribe	anger	0.606
sickening	anger	0.606
ranting	anger	0.606
asshole	anger	0.606
irks	anger	0.606
irritating	anger	0.606
discrimination	anger	0.606
bombardment	anger	0.606
thug	anger	0.606
antagonistic	anger	0.606
revolution	anger	0.606
blast	anger	0.606
frustrate	anger	0.604
tension	anger	0.603
manipulation	anger	0.603
oppression	anger	0.603
hurtful	anger	0.603
insult	anger	0.603
tiredofit	anger	0.603
bigot	anger	0.603
disgust	anger	0.602
spite	anger	0.600
intrusive	anger	0.598
harshness	anger	0.597
slur	anger	0.596
bitterness	anger	0.594
tempest	anger	0.594
miserable	anger	0.594
morbidity	anger	0.594
assail	anger	0.594
puncture	anger	0.594
invasion	anger	0.594
inferno	anger	0.594
casualty	anger	0.594
storming	anger	0.594
wretch	anger	0.594
consternation	anger	0.592
guillotine	anger	0.591
forcibly	anger	0.591
overpowering	anger	0.591
immoral	anger	0.591
guilty	anger	0.591
depraved	anger	0.591
raving	anger	0.591
soannoyed	anger	0.588
recalcitrant	anger	0.588
accursed	anger	0.588
screwed	anger	0.588
invader	anger	0.588
scare	anger	0.588
indignation	anger	0.587
jealousy	anger	0.587
vexed	anger	0.586
confront	anger	0.582
brute	anger	0.581
throttle	anger	0.579
provoking	anger	0.578
coup	anger	0.578
pillage	anger	0.578
damage	anger	0.578
shutup	anger	0.578
contentious	anger	0.578
shutit	anger	0.578
bickering	anger	0.578
incarceration	anger	0.578
butcher	anger	0.578
lash	anger	0.578
conflict	anger	0.578
blaze	anger	0.578
slut	anger	0.578
defiant	anger	0.578
wreck	anger	0.578
revolver	anger	0.578
yousuck	anger	0.578
criminality	anger	0.578
cancer	anger	0.577
frustration	anger	0.576
standoff	anger	0.576
gory	anger	0.576
dontmess	anger	0.576
alienation	anger	0.576
gun	anger	0.576
pernicious	anger	0.576
grope	anger	0.576
discord	anger	0.576
condescension	anger	0.576
discriminate	anger	0.576
blasphemy	anger	0.576
chaotic	anger	0.576
disturbance	anger	0.576
friggen	anger	0.575
jab	anger	0.574
monstrosity	anger	0.574
lunacy	anger	0.574
oppressive	anger	0.574
scandalous	anger	0.574
cursed	anger	0.574
sneer	anger	0.574
death	anger	0.574
shit	anger	0.573
slash	anger	0.571
unfair	anger	0.571
disparaging	anger	0.571
gallows	anger	0.570
escalate	anger	0.569
intolerant	anger	0.564
lawlessness	anger	0.563
bluddy	anger	0.562
dreadful	anger	0.562
arghh	anger	0.562
derogatory	anger	0.562
beast	anger	0.562
malign	anger	0.562
traitor	anger	0.562
grouchy	anger	0.562
slander	anger	0.562
wrangling	anger	0.562
taunt	anger	0.562
perdition	anger	0.562
frightful	anger	0.562
invade	anger	0.562
glare	anger	0.562
deceived	anger	0.562
torpedo	anger	0.562
bellows	anger	0.562
retards	anger	0.562
bearish	anger	0.562
rave	anger	0.561
hurt	anger	0.561
grating	anger	0.561
thief	anger	0.561
uncontrollable	anger	0.561
idiots	anger	0.561
devastating	anger	0.561
banshee	anger	0.561
cross	anger	0.561
betrayal	anger	0.561
fits	anger	0.561
shatter	anger	0.561
conflagration	anger	0.561
jeopardize	anger	0.561
dissension	anger	0.561
subjugation	anger	0.559
disturbed	anger	0.559
stomped	anger	0.557
grab	anger	0.557
ticked	anger	0.556
masochism	anger	0.556
grievance	anger	0.556
defiance	anger	0.552
blackmail	anger	0.550
offensive	anger	0.549
decry	anger	0.548
sin	anger	0.547
fustrated	anger	0.547
ire	anger	0.547
confine	anger	0.547
deceive	anger	0.547
arghhhh	anger	0.547
punishment	anger	0.547
violation	anger	0.547
preposterous	anger	0.547
disgraceful	anger	0.547
darkside	anger	0.547
frustrates	anger	0.547
overbearing	anger	0.547
misery	anger	0.547
firearms	anger	0.547
rebel	anger	0.547
shrill	anger	0.547
disparity	anger	0.547
hadenough	anger	0.546
stolen	anger	0.546
foul	anger	0.545
adversary	anger	0.545
conspirator	anger	0.545
skirmish	anger	0.545
ruined	anger	0.545
annoyin	anger	0.545
menace	anger	0.545
tackle	anger	0.545
humiliate	anger	0.545
prejudice	anger	0.545
resentful	anger	0.545
antagonist	anger	0.545
heated	anger	0.545
wanker	anger	0.545
callous	anger	0.545
argument	anger	0.545
sting	anger	0.544
outcry	anger	0.544
grumble	anger	0.544
robbery	anger	0.544
entangled	anger	0.544
resistance	anger	0.543
irreconcilable	anger	0.543
obstructive	anger	0.542
dismay	anger	0.540
mob	anger	0.538
juststop	anger	0.537
badness	anger	0.536
ridicule	anger	0.534
incendiary	anger	0.533
flares	anger	0.532
twofaced	anger	0.531
exacerbation	anger	0.531
prejudicial	anger	0.531
unbridled	anger	0.531
intruder	anger	0.531
communism	anger	0.531
uprising	anger	0.531
dispute	anger	0.531
reckless	anger	0.531
confinement	anger	0.531
degeneracy	anger	0.531
whip	anger	0.531
belittle	anger	0.531
allegation	anger	0.531
offender	anger	0.530
tackled	anger	0.530
dictatorial	anger	0.530
perversion	anger	0.530
unjust	anger	0.530
fiesty	anger	0.530
hassle	anger	0.530
unjustifiable	anger	0.530
bigoted	anger	0.530
dissonance	anger	0.530
prison	anger	0.529
trespass	anger	0.529
cantstandit	anger	0.529
hot	anger	0.529
renegade	anger	0.529
suicide	anger	0.521
annoy	anger	0.520
leavemealone	anger	0.517
depravity	anger	0.516
venting	anger	0.516
divorce	anger	0.516
dishonest	anger	0.516
prisoner	anger	0.516
duress	anger	0.516
inimical	anger	0.516
grrr	anger	0.516
idiotic	anger	0.516
treason	anger	0.516
tortious	anger	0.516
criticize	anger	0.516
disrespectful	anger	0.516
distrust	anger	0.516
cretins	anger	0.516
broil	anger	0.516
hangry	anger	0.515
unkind	anger	0.515
bile	anger	0.515
roar	anger	0.515
poaching	anger	0.515
unforgiving	anger	0.515
poachers	anger	0.515
pow	anger	0.515
unleash	anger	0.515
scold	anger	0.515
argumentation	anger	0.515
chaos	anger	0.515
frustrating	anger	0.515
jerks	anger	0.515
coercion	anger	0.515
grump	anger	0.515
victimized	anger	0.515
tussle	anger	0.514
bane	anger	0.511
accusation	anger	0.510
enmity	anger	0.510
repudiation	anger	0.510
banish	anger	0.509
disfigured	anger	0.508
storm	anger	0.507
derogation	anger	0.500
obstruct	anger	0.500
nobodycares	anger	0.500
rejects	anger	0.500
unruly	anger	0.500
crazy	anger	0.500
hammering	anger	0.500
malpractice	anger	0.500
frenzied	anger	0.500
suppression	anger	0.500
scoff	anger	0.500
possessed	anger	0.500
intractable	anger	0.500
fervor	anger	0.500
delusional	anger	0.500
brunt	anger	0.500
confined	anger	0.500
injustice	anger	0.500
shun	anger	0.500
defy	anger	0.500
anguish	anger	0.500
antithesis	anger	0.500
fear	anger	0.500
bout	anger	0.500
derision	anger	0.500
banished	anger	0.500
animus	anger	0.500
reject	anger	0.500
spear	anger	0.500
dominate	anger	0.500
patronising	anger	0.500
brazen	anger	0.500
disrupting	anger	0.500
ordeal	anger	0.500
foaming	anger	0.500
getoveryourself	anger	0.495
stupidpeople	anger	0.492
toughness	anger	0.492
sinful	anger	0.491
madness	anger	0.491
oppress	anger	0.490
avarice	anger	0.490
anathema	anger	0.485
incest	anger	0.485
dissident	anger	0.485
abolish	anger	0.485
smuggler	anger	0.485
claw	anger	0.485
revoke	anger	0.485
complaint	anger	0.485
infraction	anger	0.485
avenger	anger	0.485
pervert	anger	0.485
cutting	anger	0.485
usurp	anger	0.485
inhuman	anger	0.485
disservice	anger	0.485
annoyed	anger	0.485
stayaway	anger	0.485
disobedient	anger	0.485
alienate	anger	0.485
fricking	anger	0.485
demand	anger	0.485
disapproved	anger	0.485
oust	anger	0.484
litigious	anger	0.484
rivalry	anger	0.484
mocking	anger	0.484
obnoxious	anger	0.484
thresh	anger	0.484
restrain	anger	0.484
blame	anger	0.484
deceit	anger	0.484
strained	anger	0.484
penalty	anger	0.484
opposed	anger	0.484
disgrace	anger	0.484
imprisoned	anger	0.484
sucker	anger	0.484
suspicious	anger	0.484
upheaval	anger	0.484
renounce	anger	0.484
turbulence	anger	0.483
pound	anger	0.481
coldness	anger	0.477
ungrateful	anger	0.472
stoopid	anger	0.471
battalion	anger	0.471
armament	anger	0.470
jealous	anger	0.470
hostage	anger	0.470
adversity	anger	0.470
infidel	anger	0.470
ram	anger	0.470
annoying	anger	0.470
dispossessed	anger	0.470
feudalism	anger	0.470
gall	anger	0.470
accuser	anger	0.470
friction	anger	0.470
subversion	anger	0.470
plunder	anger	0.469
incite	anger	0.469
objection	anger	0.469
simmer	anger	0.469
offense	anger	0.469
complain	anger	0.469
injury	anger	0.469
disruption	anger	0.469
backoff	anger	0.469
steal	anger	0.469
angermanagement	anger	0.469
stifled	anger	0.469
smother	anger	0.469
selfish	anger	0.469
dislike	anger	0.469
recidivism	anger	0.469
disobey	anger	0.469
intolerance	anger	0.469
exile	anger	0.469
thump	anger	0.469
selfishness	anger	0.469
distress	anger	0.469
huff	anger	0.469
perpetrator	anger	0.469
subversive	anger	0.469
opposition	anger	0.469
insanity	anger	0.469
areyoukidding	anger	0.468
mug	anger	0.467
agony	anger	0.465
arrogant	anger	0.461
vent	anger	0.456
sux	anger	0.456
picketing	anger	0.456
elimination	anger	0.456
haughty	anger	0.456
troublesome	anger	0.455
mislead	anger	0.455
impermeable	anger	0.455
illegality	anger	0.455
constraint	anger	0.455
dying	anger	0.455
clamor	anger	0.455
flagrant	anger	0.455
illicit	anger	0.455
busted	anger	0.455
veto	anger	0.455
idiocy	anger	0.455
crabby	anger	0.455
stubbed	anger	0.455
grated	anger	0.455
desist	anger	0.453
suppress	anger	0.453
bad	anger	0.453
disagreeing	anger	0.453
struggle	anger	0.453
despotism	anger	0.453
disapproving	anger	0.453
bayonet	anger	0.453
intense	anger	0.453
hysterical	anger	0.453
usurped	anger	0.453
displeased	anger	0.453
godless	anger	0.453
unlawful	anger	0.451
wrongly	anger	0.448
repellent	anger	0.442
wrongful	anger	0.441
dishonor	anger	0.441
foe	anger	0.441
wasted	anger	0.441
psychosis	anger	0.441
aversion	anger	0.440
punitive	anger	0.439
ultimatum	anger	0.439
gahhh	anger	0.439
knuckles	anger	0.439
effigy	anger	0.439
upset	anger	0.439
schism	anger	0.439
separatist	anger	0.438
deny	anger	0.438
stupidity	anger	0.438
deleterious	anger	0.438
worthless	anger	0.438
abandonment	anger	0.438
mucked	anger	0.438
ransom	anger	0.438
irritation	anger	0.438
fugitive	anger	0.438
segregate	anger	0.437
oblivion	anger	0.437
payback	anger	0.436
incongruous	anger	0.435
eviction	anger	0.435
collusion	anger	0.432
rob	anger	0.431
ravenous	anger	0.429
infidelity	anger	0.429
overrun	anger	0.429
rejection	anger	0.426
stupidrain	anger	0.426
getoverit	anger	0.426
incredulous	anger	0.426
martial	anger	0.426
harbinger	anger	0.426
painful	anger	0.426
defense	anger	0.425
enforce	anger	0.424
fuss	anger	0.424
banger	anger	0.424
defraud	anger	0.424
commotion	anger	0.424
powerful	anger	0.424
fraudulent	anger	0.424
concealment	anger	0.424
indecency	anger	0.424
greed	anger	0.424
exasperation	anger	0.424
disobedience	anger	0.424
censor	anger	0.424
discontent	anger	0.424
fallacious	anger	0.424
gonorrhea	anger	0.424
unsympathetic	anger	0.424
cur	anger	0.422
duel	anger	0.422
banishment	anger	0.422
annoyance	anger	0.422
bang	anger	0.422
deportation	anger	0.422
penetration	anger	0.422
nettle	anger	0.422
scar	anger	0.422
misrepresented	anger	0.422
penitentiary	anger	0.422
sedition	anger	0.422
barb	anger	0.422
snubbed	anger	0.422
sarcasm	anger	0.422
cracked	anger	0.422
blatant	anger	0.420
force	anger	0.418
perverse	anger	0.415
wring	anger	0.415
grim	anger	0.413
bastion	anger	0.413
tiff	anger	0.412
sordid	anger	0.412
surly	anger	0.412
nothappy	anger	0.412
moody	anger	0.412
hunting	anger	0.411
indenture	anger	0.410
detainee	anger	0.409
supremacy	anger	0.409
compulsion	anger	0.409
reproach	anger	0.409
areyoukiddingme	anger	0.409
inept	anger	0.409
cantwin	anger	0.409
squelch	anger	0.409
forfeit	anger	0.409
blockade	anger	0.409
disappoint	anger	0.409
implicate	anger	0.409
sham	anger	0.409
awful	anger	0.409
contradict	anger	0.409
sneak	anger	0.409
lying	anger	0.408
badger	anger	0.406
forsaken	anger	0.406
antipathy	anger	0.406
inequality	anger	0.406
epidemic	anger	0.406
wop	anger	0.406
onerous	anger	0.406
tremor	anger	0.406
wrongdoing	anger	0.406
scrapie	anger	0.406
nuisance	anger	0.406
unthinkable	anger	0.406
rail	anger	0.406
cacophony	anger	0.406
delusion	anger	0.406
arguments	anger	0.404
affront	anger	0.403
traumatic	anger	0.402
libel	anger	0.400
annoys	anger	0.400
sodding	anger	0.400
soslow	anger	0.398
watchout	anger	0.398
frenetic	anger	0.397
remiss	anger	0.397
barge	anger	0.396
rabble	anger	0.394
confiscate	anger	0.394
disrespect	anger	0.394
illegal	anger	0.394
sue	anger	0.394
actionable	anger	0.394
unfriendly	anger	0.394
extinguish	anger	0.394
boxing	anger	0.394
keyed	anger	0.394
fraud	anger	0.394
untoward	anger	0.394
whatsthepoint	anger	0.394
nag	anger	0.394
dangit	anger	0.394
howl	anger	0.394
brimstone	anger	0.392
recklessness	anger	0.391
dissolution	anger	0.391
pique	anger	0.391
earthquake	anger	0.391
rigged	anger	0.391
grrrrr	anger	0.391
argh	anger	0.391
disagree	anger	0.389
lawsuit	anger	0.386
immorality	anger	0.382
despair	anger	0.382
disused	anger	0.382
sore	anger	0.379
touchy	anger	0.379
sizzle	anger	0.379
incurable	anger	0.379
coerce	anger	0.379
falsification	anger	0.379
firstworldprobs	anger	0.379
difficulty	anger	0.379
pokes	anger	0.379
rifle	anger	0.379
picket	anger	0.378
concussion	anger	0.377
pitfall	anger	0.375
militia	anger	0.375
sly	anger	0.375
remand	anger	0.375
stuckup	anger	0.375
disillusionment	anger	0.375
faulty	anger	0.375
pessimism	anger	0.375
petpeeve	anger	0.375
rawr	anger	0.375
infantile	anger	0.375
cannon	anger	0.375
inhibit	anger	0.371
distressing	anger	0.371
vindicate	anger	0.371
nepotism	anger	0.371
schizophrenia	anger	0.369
skewed	anger	0.368
disreputable	anger	0.368
forbidding	anger	0.368
conquest	anger	0.367
leukemia	anger	0.365
bark	anger	0.365
warrior	anger	0.364
barks	anger	0.364
burke	anger	0.364
disapprove	anger	0.364
unhappy	anger	0.364
retarded	anger	0.364
challenge	anger	0.364
belt	anger	0.364
aftermath	anger	0.359
cad	anger	0.359
paucity	anger	0.359
opinionated	anger	0.359
incompetence	anger	0.359
broken	anger	0.359
restriction	anger	0.359
controversial	anger	0.359
litigate	anger	0.359
loudness	anger	0.359
disliked	anger	0.359
sectarian	anger	0.359
polemic	anger	0.359
interrupting	anger	0.358
fussy	anger	0.357
wench	anger	0.353
gruff	anger	0.351
misbehavior	anger	0.351
brat	anger	0.351
remove	anger	0.351
scarcity	anger	0.350
losing	anger	0.349
lie	anger	0.348
defect	anger	0.348
pest	anger	0.348
retract	anger	0.348
disappointed	anger	0.348
untrustworthy	anger	0.348
ulcer	anger	0.348
stigma	anger	0.348
hardened	anger	0.348
deserted	anger	0.348
timewasters	anger	0.348
disagreement	anger	0.348
bias	anger	0.345
unreliable	anger	0.344
disclaim	anger	0.344
impotence	anger	0.344
negation	anger	0.344
stripped	anger	0.344
unsettled	anger	0.344
misleading	anger	0.344
pirate	anger	0.344
shaky	anger	0.344
antisocial	anger	0.344
shoddy	anger	0.344
anxiety	anger	0.344
bothering	anger	0.344
stingy	anger	0.344
deterioration	anger	0.344
evade	anger	0.344
interminable	anger	0.343
disease	anger	0.341
meddle	anger	0.341
warp	anger	0.340
infamous	anger	0.338
alcoholism	anger	0.338
averse	anger	0.338
row	anger	0.337
staticky	anger	0.336
witchcraft	anger	0.333
illegitimate	anger	0.333
scorpion	anger	0.333
paralyzed	anger	0.333
ill	anger	0.333
interrupt	anger	0.333
encumbrance	anger	0.333
sinner	anger	0.331
hulk	anger	0.329
inconsiderate	anger	0.329
dashed	anger	0.328
hiss	anger	0.328
dislocated	anger	0.328
opponent	anger	0.328
scapegoat	anger	0.328
prohibited	anger	0.328
spammers	anger	0.328
brrr	anger	0.328
tighten	anger	0.328
disqualified	anger	0.328
grumpy	anger	0.328
fib	anger	0.328
resisting	anger	0.328
phony	anger	0.328
crusade	anger	0.328
victim	anger	0.328
trickery	anger	0.324
loss	anger	0.324
neglected	anger	0.324
haye	anger	0.324
inappropriate	anger	0.324
eschew	anger	0.324
canker	anger	0.323
crunch	anger	0.318
criticism	anger	0.318
duplicity	anger	0.318
queues	anger	0.318
muff	anger	0.318
shriek	anger	0.316
depreciate	anger	0.315
carelessness	anger	0.312
mortality	anger	0.312
dismissal	anger	0.312
deflate	anger	0.312
dumps	anger	0.312
chaff	anger	0.312
dupe	anger	0.312
dramaqueen	anger	0.312
poverty	anger	0.312
revving	anger	0.309
disallowed	anger	0.308
boisterous	anger	0.307
thoughtless	anger	0.307
burial	anger	0.304
theocratic	anger	0.303
wince	anger	0.303
sullen	anger	0.303
involution	anger	0.300
talons	anger	0.297
senseless	anger	0.297
hoax	anger	0.297
misuse	anger	0.297
wasteful	anger	0.297
depreciated	anger	0.297
getyourown	anger	0.297
depressed	anger	0.297
taxed	anger	0.297
stalemate	anger	0.297
paralysis	anger	0.295
displaced	anger	0.294
limited	anger	0.292
disapointment	anger	0.290
orc	anger	0.289
ridiculous	anger	0.289
react	anger	0.288
spine	anger	0.288
presumptuous	anger	0.288
teasing	anger	0.288
homeless	anger	0.288
sharpen	anger	0.288
barrier	anger	0.287
hoot	anger	0.287
twitchy	anger	0.287
myopia	anger	0.283
spam	anger	0.281
restitution	anger	0.281
disconnects	anger	0.281
flexin	anger	0.281
lagging	anger	0.281
incompatible	anger	0.281
delinquent	anger	0.281
contraband	anger	0.281
agh	anger	0.281
shiver	anger	0.281
unfairness	anger	0.279
buffering	anger	0.279
foray	anger	0.279
troll	anger	0.279
noncompliance	anger	0.279
